name,star,review_info,detail_info_link,type,now_price,old_price
Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.1 out of 5 stars,"5,094",https://www.amazon.com/Sony-MDRZX110-BLK-Stereo-Headphones/dp/B00NJ2M33I/ref=sr_1_10?keywords=headphones&qid=1570712325&s=aht&sr=1-10,Black,,
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR – Black",4.4 out of 5 stars,"3,573",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sr_1_11?keywords=headphones&qid=1570712325&s=aht&sr=1-11,Black,$349.00,
Panasonic Headphones RP-HT161-K Full-Sized Over-the-Ear Lightweight Long-Corded (Black),4.0 out of 5 stars,"5,942",https://www.amazon.com/Panasonic-Headphones-RP-HT161-K-Lightweight-Long-Corded/dp/B075LT8YLR/ref=sr_1_12?keywords=headphones&qid=1570712325&s=aht&sr=1-12,Electronics,$16.99,
Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Girls/Smartphones/School/Kindle/Airplane/Plane/Tablet - Soft Pink,4.3 out of 5 stars,"2,311",https://www.amazon.com/Kids-Headphones-Tangle-Free-Ear-Smartphones/dp/B07DKRYS6D/ref=sr_1_13?keywords=headphones&qid=1570712325&s=aht&sr=1-13,Pink,$16.99,
"Bluetooth Headphones, Wireless Earbuds for Running, Noise Cancelling Headsets for Workout, Sports Earphones Bluetooth 5.0 with Mic, Best Beats Waterproof Cordless Sports Ear Buds for Gym Jogging",4.0 out of 5 stars,"34,413",https://www.amazon.com/Bluetooth-Headphones-Cancelling-Earphones-Waterproof/dp/B07KR62YBD/ref=sr_1_14?keywords=headphones&qid=1570712325&s=aht&sr=1-14,Red,$17.97,
"OneOdio Adapter-Free Closed Back Over-Ear DJ Stereo Monitor Headphones, Professional Studio Monitor & Mixing, Telescopic Arms with Scale, Newest 50mm Neodymium Drivers - Black",4.3 out of 5 stars,Sponsored,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A03133471DRMLFG6C8OTB&url=%2FOneOdio-Adapter-Free-Headphones-Professional-Telescopic%2Fdp%2FB01N6ZJH96%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dheadphones%26qid%3D1570712325%26s%3Daht%26sr%3D1-15-spons%26psc%3D1&qualifier=1570712324&id=7126474431347436&widgetName=sp_mtf,Electronics,$32.99,
"Betron B25 Noise Isolating in Ear Canal Headphones Earphones with Pure Sound and Powerful Bass for iPhone, iPad, iPod, Samsung Smartphones and Tablets (Black Without Remote)",4.3 out of 5 stars,Sponsored,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_2?ie=UTF8&adId=A0294461ZZB0PRYHG6LL&url=%2FBetron-Isolating-Headphones-Earphones-Smartphones%2Fdp%2FB00P89DXYI%2Fref%3Dsr_1_16_sspa%3Fkeywords%3Dheadphones%26qid%3D1570712325%26s%3Daht%26sr%3D1-16-spons%26psc%3D1&qualifier=1570712324&id=7126474431347436&widgetName=sp_mtf,Electronics,$12.99,
"COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30 Hours Playtime for Travel/Work/Cellphone, Black",4.3 out of 5 stars,"4,991",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Cellphone/dp/B077YG22Y9/ref=sr_1_17?keywords=headphones&qid=1570712325&s=aht&smid=A10XDMRONAH0FW&sr=1-17,Black,$67.99,$89.99
iJoy Matte Finish Premium Rechargeable Wireless Headphones Bluetooth Over Ear Headphones Foldable Headset with Mic (Stealth),4.1 out of 5 stars,"7,129",https://www.amazon.com/iJoy-Rechargeable-Wireless-Headphones-Bluetooth/dp/B01HNMTCE2/ref=sr_1_18?keywords=headphones&qid=1570712325&s=aht&sr=1-18,Stealth,$16.99,
"Mpow Flame Bluetooth Headphones Sport IPX7 Waterproof Wireless Sport Earbuds, Richer Bass HiFi Stereo In-Ear Earphones, 7-9 Hrs Playback, Running Headphones W/CVC6.0 Noise Cancelling Mic, Red",4.2 out of 5 stars,"16,952",https://www.amazon.com/Mpow-Headphones-Waterproof-Cancelling-Microphone/dp/B0753GRNQZ/ref=sr_1_19?keywords=headphones&qid=1570712325&s=aht&sr=1-19,Red,$19.99,
Earbuds Ear Buds in Ear Headphones Wired Earphones with Microphone Mic Stereo and Volume Control Waterproof Metal Wired Earphone for iPhone Samsung Mp3 Players Tablet Laptop 3.5mm,5.0 out of 5 stars,289,https://www.amazon.com/Headphones-Earphones-Microphone-Waterproof-Earphone/dp/B07Y2RMG58/ref=sr_1_20?keywords=headphones&qid=1570712325&s=aht&sr=1-20,leeray01,$12.99,
"Bluetooth Headphones, Letscom Wireless Headphones Over Ear with Hi-Fi Sound Mic Deep Bass, 100 Hours Playtime and Soft Memory Protein Earpads for Travel Work TV PC Cellphone - Black",4.5 out of 5 stars,759,https://www.amazon.com/Bluetooth-Headphones-Wireless-Playtime-Cellphone/dp/B07TQM2FTD/ref=sr_1_21?keywords=headphones&qid=1570712325&s=aht&smid=A2L1KZ9X44LHRJ&sr=1-21,Black,$20.99,$24.99
